#Country=France
#Region=WESTERN EUROPE
#Population=60876136
#Area (sq. mi.)=547030
#Pop. Density (per sq. mi.)=111,3
#Coastline (coast/area ratio)=0,63
#Net migration=0,66
#Infant mortality (per 1000 births)=4,26
#GDP ($ per capita)=27600
#Literacy (%)=99,0
#Phones (per 1000)=586,4
#Arable (%)=33,53
#Crops (%)=2,07
#Other (%)=64,4
#Climate=4
#Birthrate=11,99
#Deathrate=9,14
#Agriculture=0,022
#Industry=0,214
#Service=0,764
indicator	year	value
Adolescent fertility rate (births per 1,000 women ages 15-19)	1960	33.9466
Age dependency ratio (% of working-age population)	1960	60.909719291057606
Age dependency ratio, old (% of working-age population)	1960	18.6461502714698
Age dependency ratio, young (% of working-age population)	1960	42.2635690195879
Agriculture, value added (constant 2005 US$)	1960	16199263308.2786
Agriculture, value added (constant LCU)	1960	13157745800.0
Agriculture, value added (current LCU)	1960	4960000000.0
Agriculture, value added (current US$)	1960	6590049342.02451
Alternative and nuclear energy (% of total energy use)	1960	4.4865473132040306
Arms exports (SIPRI trend indicator values)	1960	1133000000.0
Arms imports (SIPRI trend indicator values)	1960	421000000.0
Birth rate, crude (per 1,000 people)	1960	18.7
CO2 emissions (kg per 2005 US$ of GDP)	1960	0.5154697249030349
CO2 emissions (kt)	1960	271218.654
CO2 emissions (metric tons per capita)	1960	5.79350794502963
CO2 emissions from electricity and heat production, total (% of total fuel combustion)	1960	25.318544673012
CO2 emissions from gaseous fuel consumption (% of total)	1960	2.09837484113464
CO2 emissions from gaseous fuel consumption (kt)	1960	5691.184
CO2 emissions from liquid fuel consumption (% of total)	1960	28.5633162975582
CO2 emissions from liquid fuel consumption (kt)	1960	77469.042
CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	1960	35.8727356463003
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	1960	0.9172551427694219
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	1960	24.2247466994166
CO2 emissions from solid fuel consumption (% of total)	1960	66.7315648576296
CO2 emissions from solid fuel consumption (kt)	1960	180988.452
CO2 emissions from transport (% of total fuel combustion)	1960	13.662879950875
CO2 intensity (kg per kg of oil equivalent energy use)	1960	3.42352939483535
Combustible renewables and waste (% of total energy)	1960	0.0
Consumer price index (2010 = 100)	1960	10.372747284749401
Death rate, crude (per 1,000 people)	1960	11.4
DEC alternative conversion factor (LCU per US$)	1960	0.752649903297424
Electric power consumption (kWh per capita)	1960	1456.6936122445002
Electric power transmission and distribution losses (% of output)	1960	9.12482180684528
Electricity production from coal sources (% of total)	1960	36.4686446661959
Electricity production from hydroelectric sources (% of total)	1960	54.4731477904049
Electricity production from natural gas sources (% of total)	1960	5.31581822299791
Electricity production from nuclear sources (% of total)	1960	0.19451364926257997
Electricity production from oil sources (% of total)	1960	3.5478756711387
Electricity production from oil, gas and coal sources (% of total)	1960	45.332338560332495
Electricity production from renewable sources, excluding hydroelectric (% of total)	1960	0.0
Electricity production from renewable sources, excluding hydroelectric (kWh)	1960	0.0
Energy imports, net (% of energy use)	1960	42.823201864372294
Energy use (kg of oil equivalent per capita)	1960	1692.2617792531798
Exports as a capacity to import (constant LCU)	1960	33869548718.0403
Exports of goods and services (% of GDP)	1960	14.3962825606565
Exports of goods and services (constant 2005 US$)	1960	36895387058.2718
Exports of goods and services (constant LCU)	1960	31336457548.9674
Exports of goods and services (current LCU)	1960	6788513280.0
Exports of goods and services (current US$)	1960	9019483361.731579
External balance on goods and services (% of GDP)	1960	1.82711016681202
External balance on goods and services (constant LCU)	1960	2031663496.4881399
External balance on goods and services (current LCU)	1960	861566976.0
External balance on goods and services (current US$)	1960	1144711468.40703
Fertility rate, total (births per woman)	1960	2.85
Fixed telephone subscriptions	1960	2193711.0
Fixed telephone subscriptions (per 100 people)	1960	4.800385744521059
Fossil fuel energy consumption (% of total)	1960	95.5201806206624
GDP (constant LCU)	1960	459200434496.151
GDP (current LCU)	1960	47154626560.0
GDP at market prices (constant 2005 US$)	1960	526158260896.93
GDP at market prices (current US$)	1960	62651474946.6007
GDP deflator (base year varies by country)	1960	10.268854952574099
GDP per capita (constant 2005 US$)	1960	11239.2787881373
GDP per capita (constant LCU)	1960	9808.99110875504
GDP per capita (current LCU)	1960	1007.27106926895
GDP per capita (current US$)	1960	1338.29960630568
General government final consumption expenditure (% of GDP)	1960	16.682101888752598
General government final consumption expenditure (constant 2005 US$)	1960	124871778988.44
General government final consumption expenditure (constant LCU)	1960	108996344045.55
General government final consumption expenditure (current LCU)	1960	7866382848.0
General government final consumption expenditure (current US$)	1960	10451582885.3982
GNI (constant 2005 US$)	1960	530699526953.188
GNI (constant LCU)	1960	463158686017.75
GNI (current LCU)	1960	47555207168.0
GNI (current US$)	1960	63183701957.1205
GNI per capita (constant 2005 US$)	1960	11336.284877465501
GNI per capita (constant LCU)	1960	9893.543411115508
GNI per capita (current LCU)	1960	1015.82788090725
Gross domestic income (constant 2005 US$)	1960	352270000000.0
Gross domestic income (constant LCU)	1960	461733525665.224
Gross national expenditure (constant 2005 US$)	1960	524146541628.18604
Gross national expenditure (constant LCU)	1960	457434957854.58704
Gross national expenditure (current LCU)	1960	46293059584.0
Gross national expenditure (current US$)	1960	61506763478.1937
Gross national expenditure deflator (base year varies by country)	1960	10.1201403148371
Imports of goods and services (% of GDP)	1960	12.5691723938445
Imports of goods and services (constant 2005 US$)	1960	34883667789.5273
Imports of goods and services (constant LCU)	1960	29570980907.4038
Imports of goods and services (current LCU)	1960	5926946304.0
Imports of goods and services (current US$)	1960	7874771893.324559
Industry, value added (constant 2005 US$)	1960	103664318017.152
Industry, value added (constant LCU)	1960	89524359900.0
Industry, value added (current LCU)	1960	14059000000.0
Industry, value added (current US$)	1960	18679335423.2908
International migrant stock (% of population)	1960	7.49176580620122
International migrant stock, total	1960	3507213.0
Lending interest rate (%)	1960	3.879999999
Life expectancy at birth, female (years)	1960	73.3
Life expectancy at birth, male (years)	1960	66.6
Life expectancy at birth, total (years)	1960	69.86829268292679
Manufacturing, value added (constant 2005 US$)	1960	63330853864.7886
Manufacturing, value added (constant LCU)	1960	49709171500.0
Manufacturing, value added (current LCU)	1960	10386000000.0
Manufacturing, value added (current US$)	1960	13799244448.8441
Merchandise exports (current US$)	1960	6866430000.0
Merchandise exports by the reporting economy (current US$)	1960	6824100000.0
Merchandise exports by the reporting economy, residual (% of total merchandise exports)	1960	12.1891531484005
Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	1960	2.08818745329054
Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	1960	2.2347269236969
