#Country=Germany
#Region=WESTERN EUROPE
#Population=82422299
#Area (sq. mi.)=357021
#Pop. Density (per sq. mi.)=230,9
#Coastline (coast/area ratio)=0,67
#Net migration=2,18
#Infant mortality (per 1000 births)=4,16
#GDP ($ per capita)=27600
#Literacy (%)=99,0
#Phones (per 1000)=667,9
#Arable (%)=33,85
#Crops (%)=0,59
#Other (%)=65,56
#Climate=3
#Birthrate=8,25
#Deathrate=10,62
#Agriculture=0,009
#Industry=0,296
#Service=0,695
indicator	year	value
Adolescent fertility rate (births per 1,000 women ages 15-19)	1960	37.9798
Age dependency ratio (% of working-age population)	1960	49.140379601754596
Age dependency ratio, old (% of working-age population)	1960	17.167974839431402
Age dependency ratio, young (% of working-age population)	1960	31.972404762323198
Alternative and nuclear energy (% of total energy use)	1960	0.7279095955137671
Arms exports (SIPRI trend indicator values)	1960	156000000.0
Arms imports (SIPRI trend indicator values)	1960	2009000000.0
Birth rate, crude (per 1,000 people)	1960	17.3
CO2 emissions from electricity and heat production, total (% of total fuel combustion)	1960	33.724695589599904
CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	1960	33.130077451853
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	1960	5.80794212888443
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	1960	17.4048895032855
CO2 emissions from transport (% of total fuel combustion)	1960	9.934289014713961
Combustible renewables and waste (% of total energy)	1960	0.0
Death rate, crude (per 1,000 people)	1960	12.0
DEC alternative conversion factor (LCU per US$)	1960	2.14742588996887
Electric power consumption (kWh per capita)	1960	1586.7494152982401
Electric power transmission and distribution losses (% of output)	1960	6.4826499758615705
Electricity production from coal sources (% of total)	1960	87.02877131169059
Electricity production from hydroelectric sources (% of total)	1960	10.1923451541048
Electricity production from natural gas sources (% of total)	1960	0.0702978766653398
Electricity production from nuclear sources (% of total)	1960	0.0
Electricity production from oil sources (% of total)	1960	2.70858565753924
Electricity production from oil, gas and coal sources (% of total)	1960	89.8076548458952
Electricity production from renewable sources, excluding hydroelectric (% of total)	1960	0.0
Electricity production from renewable sources, excluding hydroelectric (kWh)	1960	0.0
Energy imports, net (% of energy use)	1960	11.897830899402402
Energy use (kg of oil equivalent per capita)	1960	1952.5886322716897
Fertility rate, total (births per woman)	1960	2.37
Fixed telephone subscriptions	1960	3220990.0
Fixed telephone subscriptions (per 100 people)	1960	4.392090694159069
Fossil fuel energy consumption (% of total)	1960	99.0201589215782
Hospital beds (per 1,000 people)	1960	10.5
Life expectancy at birth, female (years)	1960	72.003
Life expectancy at birth, male (years)	1960	66.751
Life expectancy at birth, total (years)	1960	69.3129512195122
Merchandise exports (current US$)	1960	11415500000.0
Merchandise exports by the reporting economy (current US$)	1960	11381000000.0
Merchandise exports by the reporting economy, residual (% of total merchandise exports)	1960	10.0694139355065
Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	1960	2.1351375098849
Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	1960	3.8133731658026497
Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	1960	3.5409893682453197
Merchandise exports to developing economies in South Asia (% of total merchandise exports)	1960	2.5744662156225298
Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	1960	3.2773921448027403
Merchandise exports to developing economies outside region (% of total merchandise exports)	1960	16.9229417450136
Merchandise exports to economies in the Arab World (% of total merchandise exports)	1960	2.9698620507864
Merchandise exports to high-income economies (% of total merchandise exports)	1960	73.0076443194798
Merchandise imports (current US$)	1960	10172100000.0
Merchandise imports by the reporting economy (current US$)	1960	10013000000.0
Merchandise imports by the reporting economy, residual (% of total merchandise imports)	1960	9.73734145610706
Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	1960	2.1072605612703503
Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	1960	5.13332667532208
Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	1960	3.52541695795466
Merchandise imports from developing economies in South Asia (% of total merchandise imports)	1960	0.9787276540497349
Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	1960	3.5753520423449503
Merchandise imports from developing economies outside region (% of total merchandise imports)	1960	16.6583441526016
Merchandise imports from economies in the Arab World (% of total merchandise imports)	1960	4.03475481873564
Merchandise imports from high-income economies (% of total merchandise imports)	1960	73.6043143912913
Mobile cellular subscriptions	1960	0.0
Mobile cellular subscriptions (per 100 people)	1960	0.0
Official exchange rate (LCU per US$, period average)	1960	4.2000000031999996
Population ages 65 and above (% of total)	1960	11.511285273033199
Population growth (annual %)	1960	0.782668663977047
Population in largest city	1960	3259833.0
Population in the largest city (% of urban population)	1960	6.27154028532122
Population in urban agglomerations of more than 1 million	1960	6919572.0
Population in urban agglomerations of more than 1 million (% of total population)	1960	9.50296161911916
Population, ages 0-14 (% of total)	1960	21.437792862265802
Population, ages 15-64 (% of total)	1960	67.0509218647011
Population, female (% of total)	1960	53.504557584405404
Population, total	1960	72814900.0
Rural population	1960	20836712.0
Rural population (% of total population)	1960	28.616
Rural population growth (annual %)	1960	-0.37775223877825903
Survival to age 65, female (% of cohort)	1960	79.36323
Survival to age 65, male (% of cohort)	1960	67.17745
Total reserves (includes gold, current US$)	1960	7083840799.60646
Total reserves minus gold (current US$)	1960	4061649999.69135
Trademark applications, direct nonresident	1960	2318.0
Trademark applications, direct resident	1960	20843.0
