#Country=Poland
#Region=EASTERN EUROPE
#Population=38536869
#Area (sq. mi.)=312685
#Pop. Density (per sq. mi.)=123,3
#Coastline (coast/area ratio)=0,16
#Net migration=-0,49
#Infant mortality (per 1000 births)=8,51
#GDP ($ per capita)=11100
#Literacy (%)=99,8
#Phones (per 1000)=306,3
#Arable (%)=45,91
#Crops (%)=1,12
#Other (%)=52,97
#Climate=3
#Birthrate=9,85
#Deathrate=9,89
#Agriculture=0,05
#Industry=0,311
#Service=0,64
indicator	year	value
Adolescent fertility rate (births per 1,000 women ages 15-19)	1960	39.8736
Age dependency ratio (% of working-age population)	1960	64.99047381948179
Age dependency ratio, old (% of working-age population)	1960	9.41992396869855
Age dependency ratio, young (% of working-age population)	1960	55.5705498507832
Alternative and nuclear energy (% of total energy use)	1960	0.100326004137746
Arms exports (SIPRI trend indicator values)	1960	5000000.0
Arms imports (SIPRI trend indicator values)	1960	852000000.0
Birth rate, crude (per 1,000 people)	1960	22.6
CO2 emissions (kt)	1960	199767.159
CO2 emissions (metric tons per capita)	1960	6.74036258180107
CO2 emissions from electricity and heat production, total (% of total fuel combustion)	1960	41.3375295043273
CO2 emissions from gaseous fuel consumption (% of total)	1960	0.73609046019421
CO2 emissions from gaseous fuel consumption (kt)	1960	1470.467
CO2 emissions from liquid fuel consumption (% of total)	1960	2.9957596783963902
CO2 emissions from liquid fuel consumption (kt)	1960	5984.544
CO2 emissions from manufacturing industries and construction (% of total fuel combustion)	1960	19.428271702071896
CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)	1960	1.573564122738
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)	1960	24.1227380015736
CO2 emissions from solid fuel consumption (% of total)	1960	94.62158342052608
CO2 emissions from solid fuel consumption (kt)	1960	189022.849
CO2 emissions from transport (% of total fuel combustion)	1960	13.537896669289301
CO2 intensity (kg per kg of oil equivalent energy use)	1960	3.68741551744551
Combustible renewables and waste (% of total energy)	1960	1.60483028215064
Death rate, crude (per 1,000 people)	1960	7.6
Electric power consumption (kWh per capita)	1960	904.5650013749499
Electric power transmission and distribution losses (% of output)	1960	9.56218837511099
Electricity production from coal sources (% of total)	1960	97.46260501331881
Electricity production from hydroelectric sources (% of total)	1960	2.15832251895362
Electricity production from natural gas sources (% of total)	1960	0.23222457482412398
Electricity production from nuclear sources (% of total)	1960	0.0
Electricity production from oil sources (% of total)	1960	0.105867085581586
Electricity production from oil, gas and coal sources (% of total)	1960	97.8006966737245
Electricity production from renewable sources, excluding hydroelectric (% of total)	1960	0.0341506727682535
Electricity production from renewable sources, excluding hydroelectric (kWh)	1960	10000000.0
Energy imports, net (% of energy use)	1960	-19.6273506939111
Energy use (kg of oil equivalent per capita)	1960	1827.93681642651
Fertility rate, total (births per woman)	1960	2.98
Fixed telephone subscriptions	1960	535202.0
Fixed telephone subscriptions (per 100 people)	1960	1.80533495399095
Fossil fuel energy consumption (% of total)	1960	98.2469031231268
Hospital beds (per 1,000 people)	1960	4.59999990463257
International migrant stock (% of population)	1960	8.18181388749707
International migrant stock, total	1960	2424881.0
Life expectancy at birth, female (years)	1960	70.6
Life expectancy at birth, male (years)	1960	64.9
Life expectancy at birth, total (years)	1960	67.6804878048781
Merchandise exports (current US$)	1960	1326000000.0
Merchandise exports by the reporting economy (current US$)	1960	4500000.0
Merchandise exports by the reporting economy, residual (% of total merchandise exports)	1960	100.0
Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	1960	0.0
Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	1960	0.0
Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	1960	0.0
Merchandise exports to developing economies in South Asia (% of total merchandise exports)	1960	0.0
Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	1960	0.0
