Experiment	bias spectroscopy	
Saved Date	23.11.2022 19:29:49	
User		
Date		
X (m)	-890.53E-12	
Y (m)	29.6968E-9	
Z (m)	130.5E-9	
Z offset (m)	0E+0	
Settling time (s)	2.1E-3	
Integration time (s)	150E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	23.11.2022 18:55:16	
Filter type	Butterworth	
Order	1	
Cutoff frq	0,01	
Comment01	SYNC & Filter LP 8order WITHDRAW 600 steps, locked Au(111), 50pA, 100 mV set point, 1mV DCA, 973Hz,138 1st H, -84  2nd H	
Bias>Bias (V)	100E-3	
Bias>Calibration (V/V)	1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	-300E-3	
Bias Spectroscopy>Sweep End (V)	300E-3	
Bias Spectroscopy>Num Pixel	4096	
Bias Spectroscopy>Z Avg time (s)	100E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	2.1E-3	
Bias Spectroscopy>Settling time (s)	2.1E-3	
Bias Spectroscopy>Integration time (s)	150E-6	
Bias Spectroscopy>End Settling time (s)	4E-3	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	1E+0	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	100	
Bias Spectroscopy>Channels	Current (A);LI Demod 2 X (A);LI Demod 2 Y (A);LI Demod 1 X (A);LI Demod 1 Y (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	
Current>Current (A)	-5.3429E-15	
Current>Calibration (A/V)	100E-12	
Current>Offset (A)	16.2897E-15	
Current>Gain	Not switchable	
Lock-in>Lock-in status	ON	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	973E+0	
Lock-in>Amplitude	2E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>HP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>HP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>HP Filter Order D1	1	
Lock-in>HP Filter Order D2	1	
Lock-in>Harmonic D1	1	
Lock-in>Harmonic D2	2	
Lock-in>Reference phase D1 (deg)	137.597E+0	
Lock-in>Reference phase D2 (deg)	-83.6562E+0	
Lock-in>LP Filter Cutoff D1 (Hz)	621.699E+0	
Lock-in>LP Filter Cutoff D2 (Hz)	621.699E+0	
Lock-in>LP Filter Order D1	8	
Lock-in>LP Filter Order D2	8	
Lock-in>Sync Filter D1	ON	
Lock-in>Sync Filter D2	ON	
NanonisMain>Session Path	C:\Users\SPM-PEEM\Desktop\DATA_Nanonis\20220711_CreaTec_Service_Benchmarks_LHe\Nanonis-Session-PMD100-HVHU_CreaTec_Service_PalmaLabBerlin220711	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	10771	
NanonisMain>RT Release	10771	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Outputs>Output 0 Mode	User Output	
Outputs>Output 1 Mode	User Output	
Outputs>Output 2 Mode	User Output	
Outputs>Output 3 Mode	User Output	
Outputs>Output 4 Mode	User Output	
Outputs>Output 5 Mode	User Output	
Outputs>Output 6 Mode	User Output	
Outputs>Output 7 Mode	User Output	
Outputs>Output 0 Value	0E+0	
Outputs>Output 1 Value	0E+0	
Outputs>Output 2 Value	0E+0	
Outputs>Output 3 Value	2.5539E+0	
Outputs>Output 4 Value	0E+0	
Outputs>Output 5 Value	0E+0	
Outputs>Output 6 Value	0E+0	
Outputs>Output 7 Value	0E+0	
Outputs>Output 0 Name	Input 24 (V)	
Outputs>Output 1 Name	Bias (V)	
